Symbol,CompanyName,Exchange,Industry,Website,Description,CEO,IssueType,Sector
"A","Agilent Technologies Inc.","New York Stock Exchange","Medical Diagnostics & Research","http://www.agilent.com","Agilent Technologies Inc is engaged in life sciences, diagnostics and applied chemical markets. The company provides application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow.","Michael R. McMullen","cs","Healthcare"
"AA","Alcoa Corporation","New York Stock Exchange","Metals & Mining","http://www.alcoa.com","Alcoa Corp is an integrated aluminum company. The company engages in aluminum production from bauxite mining to manufactures finished aluminum goods. It serves finished aluminum goods to a wide-variety of industrial end markets.","Roy Christopher Harvey","cs","Basic Materials"
"AAC","AAC Holdings Inc.","New York Stock Exchange","Health Care Providers","http://www.americanaddictioncenters.org","AAC Holdings Inc provides inpatient and outpatient substance abuse treatment services for individuals with drug and alcohol addiction. The company also performs drug testing and diagnostics laboratory services and provides physician services.","Michael T. Cartwright","cs","Healthcare"
"AAL","American Airlines Group Inc.","Nasdaq Global Select","Airlines","http://www.aa.com","American Airlines Group Inc operates over 6,000 flights per day to more than 300 destinations across the world from hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix and Washington, D.C.","W. Douglas Parker","cs","Industrials"
"AAN","Aaron's Inc.","New York Stock Exchange","Consulting & Outsourcing","http://www.aarons.com","Aaron's Inc is a retailer of furniture, consumer electronics, computers, appliances and household accessories. It also offers lease-purchase solutions to customers of traditional retailers and revolving credit products.","John W. Robinson","cs","Industrials"
"AAOI","Applied Optoelectronics Inc.","NASDAQ Global Market","Semiconductors","http://www.ao-inc.com","Applied Optoelectronics Inc is a vertically integrated provider of fiber-optic networking products,for four networking end-markets: internet data center, cable television, or CATV, telecommunications, or telecom, fiber-to-the-home, or FTTH.","Chih-Hsiang Thompson Lin","cs","Technology"
"AAON","AAON Inc.","Nasdaq Global Select","Building Materials","http://www.aaon.com","AAON Inc is a heating, ventilation and air conditioning equipment manufacturer. Its products include rooftop units, chillers, air-handling units, make-up air units, heat recovery units, condensing units and coils.","Norman H. Asbjornson","cs","Basic Materials"
"AAP","Advance Auto Parts Inc W/I","New York Stock Exchange","Retail - Apparel & Specialty","https://shop.advanceautoparts.com","Advance Auto Parts Inc is an automotive aftermarket parts provider serving professional installers, DIY (do-it-yourself) customer and independently-owned operators.","Thomas R. Greco","cs","Consumer Cyclical"
"AAPL","Apple Inc.","Nasdaq Global Select","Computer Hardware","http://www.apple.com","Apple Inc is designs, manufactures and markets mobile communication and media devices and personal computers, and sells a variety of related software, services, accessories, networking solutions and third-party digital content and applications.","Timothy D. Cook","cs","Technology"
"AAT","American Assets Trust Inc.","New York Stock Exchange","REITs","http://www.americanassetstrust.com","American Assets Trust Inc is a self-administered real estate investment trust based in the United States. The company mainly invests in, operates, and develops retail, office, residential, and mixed-use properties in California, Oregon, and Hawaii.","Ernest Rady","cs","Real Estate"
"AAWW","Atlas Air Worldwide Holdings","Nasdaq Global Select","Transportation & Logistics","http://www.atlasair.com","Atlas Air Worldwide Holdings Inc is engaged in providing outsourced aircraft and aviation operating services. It operates a fleet of approximately 747 freighters and offers aircraft for domestic, regional & international cargo & passenger applications.","William J. Flynn","cs","Industrials"
"AAXN","Axon Enterprise Inc.","Nasdaq Global Select","Aerospace & Defense","https://www.axon.com","Axon Enterprise Inc offers a network of devices, apps, and people that helps law enforcement become smarter and safer. Its products include the connected body cameras and evidence-management cloud, and TASER Smart Weapons.","Patrick W. Smith","cs","Industrials"
"ABBV","AbbVie Inc.","New York Stock Exchange","Drug Manufacturers","http://www.abbvie.com","AbbVie Inc is a biopharmaceutical company that discovers, develops, manufactures and sells a range of pharmaceutical products for treating chronic autoimmune diseases, virology and neurological disorders.","Richard A. Gonzalez","cs","Healthcare"
